source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,attack_train_samples,fallback_selected,source_attacks,feature_name
Attack_33,AIT504,15.38067,15.76519,0.9803370786516854,0.09413340476828289,0.8862036738834025,356,False,Attack_33,AIT504_ATTACK_RANGE_005
Attack_17,AIT504,11.57396,11.92002,0.9512195121951219,0.06782172882086657,0.8833977833742553,574,False,Attack_17,AIT504_ATTACK_RANGE_006
Attack_32,AIT504,14.18867,14.53473,0.9334719334719335,0.06953366482999597,0.8639382686419375,481,False,Attack_32,AIT504_ATTACK_RANGE_007
Attack_3,AIT504,12.15073,12.41989,0.9576547231270358,0.10045747612295675,0.8571972470040791,307,False,Attack_3,AIT504_ATTACK_RANGE_008
Attack_37,AIT504,15.41912,21.10997,0.9973404255319149,0.1771911015813455,0.8201493239505695,376,False,Attack_37,AIT504_ATTACK_RANGE_009
Attack_35,AIT504,15.62676,16.30351,0.9064935064935065,0.08710222246052385,0.8193912840329827,385,False,Attack_35,AIT504_ATTACK_RANGE_010
Attack_29,DPIT301,2.061592,2.061592,0.9896907216494846,0.001755832823432387,0.9879348888260522,97,False,Attack_29,DPIT301_ATTACK_RANGE_000
Attack_8,DPIT301,45.0,45.0,0.9792746113989638,0.015143306062740424,0.9641313053362234,772,False,Attack_8,DPIT301_ATTACK_RANGE_001
Attack_30,FIT201,2.783584,2.8209272000000003,0.9060832443970117,0.04065416746033906,0.8654290769366727,937,False,Attack_30,FIT201_ATTACK_RANGE_000
Attack_10,FIT401,0.0,0.7,1.0,0.044517812450077215,0.9554821875499228,128,False,Attack_10,FIT401_ATTACK_RANGE_000
Attack_11,FIT401,0.0,0.0,0.9688195991091314,0.024464913929693584,0.9443546851794378,449,False,Attack_11,FIT401_ATTACK_RANGE_001
Attack_22,FIT401,1.207446,1.228334,0.9272237196765498,2.6798874447273214e-05,0.9271969208021026,371,False,Attack_22,FIT401_ATTACK_RANGE_002
Attack_22,FIT501,1.208408,1.231479,0.9433962264150944,0.00817365670641833,0.935222569708676,371,False,Attack_22,FIT501_ATTACK_RANGE_000
Attack_11,FIT504,0.0,0.0,0.9755011135857461,0.0435051158793673,0.9319959977063788,449,False,Attack_11,FIT504_ATTACK_RANGE_000
Attack_21,LIT101,700.0,700.0,0.9722703639514731,0.024953515319733756,0.9473168486317394,577,False,"Attack_21,Attack_30",LIT101_ATTACK_RANGE_000
Attack_1,LIT101,838.480135,869.81954,0.898936170212766,0.0019494232956083824,0.8969867469171575,752,False,Attack_1,LIT101_ATTACK_RANGE_001
Attack_28,LIT101,812.5203250000001,814.22,0.9065040650406504,0.027633430767565227,0.8788706342730852,738,False,Attack_28,LIT101_ATTACK_RANGE_002
Attack_38,LIT101,521.5514,523.7496,0.9111111111111111,0.03627772883799151,0.8748333822731196,225,False,Attack_38,LIT101_ATTACK_RANGE_003
Attack_37,LIT101,705.960825,810.7853250000001,0.898936170212766,0.09145001340123292,0.807486156811533,376,False,Attack_37,LIT101_ATTACK_RANGE_004
Attack_26,LIT301,801.0,801.0,0.9835640138408305,0.00046537092800437994,0.9830986429128261,1156,False,Attack_26,LIT301_ATTACK_RANGE_000
Attack_7,LIT301,1200.0,1200.0,0.9505813953488372,0.000374912966632746,0.9502064823822045,344,False,Attack_7,LIT301_ATTACK_RANGE_001
Attack_34,LIT301,844.8956,849.9023,0.9382716049382716,0.024943491556973806,0.9133281133812977,81,False,Attack_34,LIT301_ATTACK_RANGE_002
Attack_28,LIT301,1011.72,1016.286,0.9051490514905149,0.0051152971744072755,0.9000337543161077,738,False,Attack_28,LIT301_ATTACK_RANGE_003
Attack_20,LIT301,916.1914,932.8538,0.9050632911392406,0.04573187048434573,0.8593314206548949,316,False,Attack_20,LIT301_ATTACK_RANGE_004
Attack_31,LIT401,600.0,600.0,1.0,0.011660248181429182,0.9883397518185708,294,False,Attack_31,LIT401_ATTACK_RANGE_000
Attack_25,LIT401,1000.0,1000.0,0.9653061224489796,0.00037638455747929884,0.9649297378915003,490,False,Attack_25,LIT401_ATTACK_RANGE_001
Attack_28,LIT401,246.5906,406.8879849999997,0.9024390243902439,0.0,0.9024390243902439,738,False,Attack_28,LIT401_ATTACK_RANGE_002
Attack_39,PIT501,247.3725,247.8371,0.9470404984423676,0.03061688746152817,0.9164236109808395,321,False,Attack_39,PIT501_ATTACK_RANGE_000
Attack_24,PIT501,252.0027,252.5795,0.9299610894941635,0.058403911405594595,0.8715571780885688,257,False,Attack_24,PIT501_ATTACK_RANGE_001
Attack_32,PIT501,250.4807,250.9613,0.9085239085239085,0.039725843300631634,0.8687980652232768,481,False,Attack_32,PIT501_ATTACK_RANGE_002
Attack_1,PIT501,249.8718,250.5768,0.9388297872340425,0.08517896788866627,0.8536508193453762,752,False,Attack_1,PIT501_ATTACK_RANGE_003
Attack_17,PIT501,251.2337,252.1469,0.9181184668989547,0.06962707480060358,0.8484913920983511,574,False,Attack_17,PIT501_ATTACK_RANGE_004
Attack_8,PIT501,246.6996,248.1415,0.9132124352331606,0.08275992848241859,0.830452506750742,772,False,Attack_8,PIT501_ATTACK_RANGE_005
Attack_11,PIT502,0.0,0.0,0.9732739420935412,0.044391331202835886,0.9288826108907053,449,False,"Attack_11,Attack_22",PIT502_ATTACK_RANGE_000
Attack_28,PIT502,0.0,0.7689104,0.9525745257452575,0.04276280177546823,0.9098117239697893,738,False,Attack_28,PIT502_ATTACK_RANGE_001
Attack_23,PIT502,0.7849293,0.8169672,0.910394265232975,0.060628097392803275,0.8497661678401717,558,False,Attack_23,PIT502_ATTACK_RANGE_002
Attack_26,PIT503,183.8952,184.7122,0.9247404844290658,0.007938680536545305,0.9168018038925204,1156,False,Attack_26,PIT503_ATTACK_RANGE_000
Attack_24,PIT503,190.38070000000002,190.8805,0.9105058365758755,0.03219428785166582,0.8783115487242097,257,False,Attack_24,PIT503_ATTACK_RANGE_001
Attack_40,PIT503,134.5945,185.6896,0.9327731092436975,0.10152745139927366,0.8312456578444238,238,False,Attack_40,PIT503_ATTACK_RANGE_002
